id,B_U,Opt_T_U,dt_T_U,rf_T_U,Gap_dt_U,Gap_rf_U,B_,Opt_T_,dt_T_,rf_T_,Gap_dt_,Gap_rf_
6.0,1.0,37.0,0.91,0.6,0.43,0.42,5,3.62,3.36,2.33,0.34,0.3
6.0,10.0,3.08,1.11,0.57,2.37,2.76,100,6.18,4.36,2.62,-17.46,-17.41
6.0,50.0,4.55,1.9,0.5,10.68,11.59,200,6.1,5.62,2.7,-33.9,-33.98
6.0,100.0,5.66,0.88,0.51,20.55,21.37,500,6.83,10.23,5.95,-71.44,-71.34
6.0,500.0,13.12,0.88,0.42,156.11,139.49,1000,7.35,22.83,9.78,-99.95,-100.0
6.0,1000.0,25.67,0.68,0.12,-,-,2000,7.96,18.39,10.6,-100.0,-100.0
6.0,2000.0,22.81,0.47,0.12,-,-,3000,8.36,8.38,5.97,-100.0,-100.0
6.0,2500.0,23.53,0.38,0.16,-,-,4000,5.58,10.96,6.34,-100.0,-100.0
6.0,3000.0,22.8,0.25,0.15,-,-,5000,6.46,10.39,6.34,-100.0,-100.0
7.0,1.0,146.08,2.65,1.49,0.17,0.16,7500,7.79,6.37,4.21,-100.0,-100.0
7.0,10.0,4.45,3.27,1.29,1.44,1.38,10000,10.23,1.14,0.66,-100.0,-100.0
7.0,50.0,9.51,2.81,1.48,5.82,5.48,15000,7.59,1.29,0.59,-,-
7.0,100.0,11.93,3.09,1.42,10.75,10.07,20000,10.51,0.92,0.62,-,-
7.0,500.0,20.6,2.66,1.39,50.81,46.71,5,8.51,6.52,3.93,-0.04,0.12
7.0,1000.0,28.67,2.06,1.25,111.5,109.38,100,11.61,9.1,4.23,-6.97,-7.03
7.0,2000.0,110.2,1.81,0.64,1009.35,540.32,200,38.25,9.65,7.95,-13.59,-13.74
7.0,2500.0,93.43,1.71,0.33,-,-,500,11.6,14.67,13.33,-32.74,-32.69
7.0,3000.0,122.28,1.45,0.32,-,-,1000,18.1,19.31,26.13,-59.87,-59.82
8.0,1.0,124.88,2.67,1.44,0.17,0.16,2000,15.3,55.62,50.33,-94.19,-94.29
8.0,10.0,8.31,2.77,1.5,1.44,1.38,3000,13.51,73.7,53.76,-100.0,-100.0
8.0,50.0,10.49,3.34,1.49,5.82,5.48,4000,13.6,71.59,38.79,-100.0,-100.0
8.0,100.0,15.32,2.47,1.43,10.75,10.07,5000,16.36,50.39,33.76,-100.0,-100.0
8.0,500.0,31.2,2.59,1.16,50.81,46.71,7500,17.2,47.47,25.15,-100.0,-100.0
8.0,1000.0,55.55,2.63,1.06,111.5,109.38,10000,22.42,19.15,24.2,-100.0,-100.0
8.0,2000.0,107.56,1.4,0.65,1009.35,540.32,15000,26.43,2.57,2.35,-100.0,-100.0
8.0,2500.0,117.72,1.0,0.3,-,-,20000,29.86,2.52,1.93,-100.0,-100.0
8.0,3000.0,108.67,1.24,0.3,-,-,5,6.82,6.69,5.04,-0.04,0.12
,,,,,,,100,10.56,8.82,5.29,-6.97,-7.03
,,,,,,,200,25.87,7.08,6.44,-13.59,-13.74
,,,,,,,500,8.69,14.84,15.4,-32.74,-32.69
,,,,,,,1000,10.02,16.62,27.66,-59.87,-59.82
,,,,,,,2000,17.02,74.8,53.41,-94.19,-94.29
,,,,,,,3000,14.03,65.78,61.34,-100.0,-100.0
,,,,,,,4000,13.04,66.07,41.4,-100.0,-100.0
,,,,,,,5000,16.9,26.45,33.8,-100.0,-100.0
,,,,,,,7500,19.84,32.64,26.85,-100.0,-100.0
,,,,,,,10000,18.89,14.85,21.82,-100.0,-100.0
,,,,,,,15000,27.19,2.19,1.95,-100.0,-100.0
,,,,,,,20000,29.15,2.02,2.07,-100.0,-100.0
